date,platform,hours,sessions
2026-05-20,Instagram,1.8,12
2026-05-20,YouTube,1.2,6
2026-05-20,WhatsApp,0.6,18
2026-05-21,Instagram,2.4,15
2026-05-21,YouTube,0.9,4
2026-05-21,WhatsApp,0.8,22
2026-05-22,Instagram,3.1,18
2026-05-22,YouTube,1.5,7
2026-05-22,WhatsApp,1.0,25
2026-05-23,Instagram,2.7,16
2026-05-23,YouTube,1.1,5
2026-05-23,WhatsApp,0.7,19
2026-05-24,Instagram,3.6,20
2026-05-24,YouTube,1.8,8
2026-05-24,WhatsApp,1.2,28
2026-05-25,Instagram,2.9,17
2026-05-25,YouTube,1.0,5
2026-05-25,WhatsApp,0.9,21
